,Asset Name,Name,Bid amount,Public Key,bid timestamp
0,,,,,
1,1990,loc,5005,0x1fD0684D95248F76dfdCcecC5DD057Aa7924cBB2,2022-06-07 18:41:52.224161+00:00
2,1990,Winnie,9999,0x1fD0684D95248F76dfdCcecC5DD057Aa7924cBB2,2022-06-07 18:43:37.872615+00:00
